ASV	Taxon	Confidence
5b902d5bd41ae471cd5e0b7651189b7e	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella	0.981333428
eeb6a7de923f866ef0c15cbe9bf9349d	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	0.999414304
930cabb59f5f316b53c5f08a6778c456	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Corynebacterium-kutscheri	0.998573904
f2d9cd6892a4b2b38e77a9fb48a6ee53	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia-sp.-oral-clone-GT018	0.748736949
9cefbb6e04e11fd074dfe558d8858caf	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Lactobacillus-buchneri	0.999150061
ff9194fa9a61daa85c43f3df32ff0f75	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Lactobacillus-buchneri	0.999032485
8261cb0596a696e5f2d5122bea8b922a	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Lactobacillus-buchneri	0.999410947
9e1dee8f0c2c6e42a2adc0579a69da44	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;Veillonella-sp.-oral-taxon-780	0.802984708
864602fc2279f9de6c255f03d7508733	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0.996500209
813d3b2c6cfe4bf327a4b16256b35eeb	Bacteria;Proteobacteria;Gammaproteobacteria	0.983764529
e0b049588927675d65609aed4aaf9240	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.999817376
5d779b1cc0f7eba665e11065925fb5ab	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0.999311549
598ea4876fb457e222293d788f9d2ec6	Bacteria	0.999990971
a915df7e1bf9961496fb2a023a4ab2e3	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0.998596146
6d1bb630804a2abbdbaf5e64254783bb	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;Eubacterium-sp.-oral-clone-DO008	0.964344105
02e748674ad09a5a17406b76f6c76b44	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia-sp.-oral-clone-FP036	0.988379135
6d79a0fa20b4fca39f3da2ddc52b86c4	Bacteria	0.999992608
d35707fb338257758fcc33484191d0ae	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;uncultured-Arthrobacter-sp.	0.998855798
b41f3cba060dae8346d0af30ed8b68b6	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.99983964
a0471bbd8369a49596941e25bb5d4820	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium	0.989718405
a629e5c84b77038d62a189fe475e021f	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.992987753
74d4aeb0b59e3883afba2201824d5a28	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999606593
a0eb0d34f51a0d784df8e46b779f0a62	Bacteria;Actinobacteriota;Actinobacteria	0.997241028
09b82b15f23f2e102dd58c949f31f71e	Bacteria;Firmicutes	0.751458235
96527b81be79495adfd6f744d3dba8d1	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerococcus	0.998439902
4ef219a34443198b4050cc31a4d096bd	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0.865449741
1088caf01e5c694885a8a3d08e88ce57	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;uncultured-Arthrobacter-sp.	0.876543319
f8b081c36f1de57ecd67b69eeef58591	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Selenomonas	0.93922991
544e3214a405c857a19f936672467488	Bacteria;Proteobacteria;Gammaproteobacteria	0.978621109
916358cfd34c63118b16fc2ea0671669	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.999614564
66eb426b64f4f1799159570188e4a846	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;uncultured-Arthrobacter-sp.	0.998595774
2aeb188e6c2b4618f2f32e46f4a53c71	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	0.866838946
82a267dc3b6d6a883e596e14c6951477	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.999858534
031471af207ee69968e3fc53287edf3b	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.999992448
96f16f0bccd1c647329881ab5c5319d7	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;uncultured-Firmicutes-bacterium	0.871543014
4fe76bebe5c25a4308681637e7ff512e	Bacteria;Proteobacteria;Gammaproteobacteria	0.972310428
